circuitId,raceId,race_prcp,quali_prcp,fp1_prcp,fp2_prcp,fp3_prcp,sprint_prcp
14,1023,0.0,\N,\N,\N,\N,\N
15,1024,0.0,\N,\N,\N,\N,\N
71,1025,\N,\N,\N,\N,\N,\N
22,1026,0.0,\N,\N,\N,\N,\N
32,1027,0.0,\N,\N,\N,\N,\N
69,1028,0.0,\N,\N,\N,\N,\N
18,1029,0.0,\N,\N,\N,\N,\N
24,1030,0.0,\N,\N,\N,\N,\N
70,1031,0.0,\N,\N,\N,\N,\N
70,1032,0.0,\N,\N,\N,\N,\N
11,1033,0.0,\N,\N,\N,\N,\N
9,1034,0.0,\N,\N,\N,\N,\N
9,1035,0.0,\N,\N,\N,\N,\N
4,1036,0.0,\N,\N,\N,\N,\N
13,1037,0.0,\N,\N,\N,\N,\N
14,1038,0.0,\N,\N,\N,\N,\N
76,1039,\N,\N,\N,\N,\N,\N
71,1040,\N,\N,\N,\N,\N,\N
20,1041,0.0,\N,\N,\N,\N,\N
75,1042,\N,\N,\N,\N,\N,\N
21,1043,0.0,\N,\N,\N,\N,\N
5,1044,0.0,\N,\N,\N,\N,\N
3,1045,0.0,\N,\N,\N,\N,\N
3,1046,0.0,\N,\N,\N,\N,\N
24,1047,0.0,\N,\N,\N,\N,\N
21,1053,0.0,\N,\N,\N,\N,\N
3,1074,0.0,0.0,0.0,0.0,0.0,\N
3,1052,0.0,\N,\N,\N,\N,\N
78,1051,0.0,\N,\N,\N,\N,\N
75,1054,\N,\N,\N,\N,\N,\N
4,1055,0.0,\N,\N,\N,\N,\N
6,1056,0.0,\N,\N,\N,\N,\N
73,1057,0.0,\N,\N,\N,\N,\N
70,1058,0.0,\N,\N,\N,\N,\N
34,1059,0.0,\N,\N,\N,\N,\N
70,1060,0.0,\N,\N,\N,\N,\N
9,1061,0.0,\N,\N,\N,\N,\N
11,1062,0.0,\N,\N,\N,\N,\N
13,1063,2.1,\N,\N,\N,\N,\N
39,1064,0.0,\N,\N,\N,\N,\N
14,1065,0.0,\N,\N,\N,\N,\N
71,1066,\N,\N,\N,\N,\N,\N
5,1067,0.0,\N,\N,\N,\N,\N
69,1069,0.0,\N,\N,\N,\N,\N
32,1070,0.0,\N,\N,\N,\N,\N
18,1071,0.0,\N,\N,\N,\N,\N
77,1072,0.0,\N,\N,\N,\N,\N
24,1073,0.0,\N,\N,\N,\N,\N
77,1075,0.0,0.0,0.0,0.0,0.0,\N
1,1076,0.0,0.0,0.0,0.0,0.0,\N
21,1077,0.0,0.0,0.0,0.0,\N,0.0
79,1078,0.6,0.0,0.0,0.0,0.0,\N
4,1079,0.0,0.0,0.0,0.0,0.0,\N
6,1080,0.0,0.0,0.0,0.0,0.0,\N
73,1081,0.0,0.0,0.0,0.0,0.0,\N
